Etape	m2	p2
1942	840	0
1943	840	0
1944	840	0
1945	840	0
1946	840	0
1947	840	0
1948	841	0
1949	842	0
1950	842	0
1951	842	0
1952	842	0
1953	842	0
1954	842	0
1955	842	0
1956	842	0
1957	842	0
1958	842	0
1959	842	0
1960	842	0
1961	842	0
1962	842	0
1963	843	0
1964	843	0
1965	843	0
1966	843	0
1967	844	0
1968	844	0
1969	844	0
1970	844	0
1971	844	0
1972	844	0
1973	844	0
1974	844	0
1975	844	0
1976	844	0
1977	844	0
1978	844	0
1979	844	0
1980	845	0
1981	846	0
1982	846	0
1983	846	0
1984	847	0
1985	847	0
1986	847	0
1987	847	0
1988	847	0
1989	847	0
1990	847	0
1991	847	0
1992	847	0
1993	847	0
1994	847	0
1995	847	0
1996	847	0
1997	847	0
1998	847	0
1999	847	0
2000	847	0
2001	847	0
2002	848	0
2003	848	0
2004	849	0
2005	849	0
2006	849	0
2007	849	0
2008	849	0
2009	850	0
2010	850	0
2011	850	0
2012	850	0
2013	850	0
2014	851	0
2015	851	0
2016	851	0
2017	852	0
2018	852	0
2019	852	0
2020	852	0
2021	852	0
2022	853	0
2023	853	0
2024	853	0
2025	853	0
2026	853	0
2027	853	0
2028	853	0
2029	853	0
2030	853	0
2031	853	0
2032	853	0
2033	853	0
2034	853	0
2035	854	0
2036	854	0
2037	855	0
2038	855	0
2039	855	0
2040	856	0
2041	856	0
2042	856	0
2043	857	0
2044	858	0
2045	858	0
2046	858	0
2047	859	0
2048	859	0
2049	859	0
2050	859	0
2051	859	0
2052	859	0
2053	858	0
2054	858	0
2055	858	0
2056	858	0
2057	859	0
2058	860	0
2059	860	0
2060	860	0
2061	860	0
2062	860	0
2063	860	0
2064	860	0
2065	860	0
2066	860	0
2067	860	0
2068	860	0
2069	860	0
2070	860	0
2071	860	0
2072	860	0
2073	860	0
2074	860	0
2075	860	0
2076	860	0
2077	860	0
2078	860	0
2079	860	0
2080	860	0
2081	860	0
2082	859	0
2083	859	0
2084	860	0
2085	860	0
2086	860	0
2087	861	0
2088	861	0
2089	861	0
2090	860	0
2091	860	0
2092	860	0
2093	860	0
2094	860	0
2095	860	0
2096	860	0
2097	860	0
2098	860	0
2099	860	0
2100	860	0
2101	860	0
2102	860	0
2103	860	0
2104	860	0
2105	860	0
2106	860	0
2107	860	0
2108	860	0
2109	860	0
2110	860	0
2111	860	0
2112	861	0
2113	861	0
2114	861	0
2115	861	0
2116	861	0
2117	861	0
2118	861	0
2119	861	0
2120	861	0
2121	861	0
2122	861	0
2123	862	0
2124	862	0
2125	863	0
2126	863	0
2127	863	0
2128	863	0
2129	863	0
2130	863	0
2131	863	0
2132	864	0
